INMATEID,ADMITTED_DT,DISCHARGED_DT,CUSTODY_LEVEL,BRADH,RACE,GENDER,AGE,INMATE_STATUS_CODE,SEALED,SRG_FLG,TOP_CHARGE,INFRACTION,Penal Law OFFENSE,CLASS,CODE,DAYS_SINCE_ADMISSION
15627,07/10/2020 11:51:02 AM,,MED,Y,B,M,35.0,DE,N,N,140.25,Y,Burglary in the second degree,C Violent Felony,140.25,506
20203671,07/10/2020 12:11:55 PM,,MIN,N,O,M,56.0,DE,N,N,220.21,Y,Criminal possession of a controlled substance in the first degree,A-I Felony,220.21,506
20022496,07/10/2021 01:05:00 PM,,MAX,Y,B,M,30.0,DE,N,N,120.10,Y,Assault in the first degree,B Violent Felony,120.10,141
20192431,07/10/2021 01:08:46 AM,,MAX,Y,O,M,26.0,DEP,N,N,160.15,N,Robbery in the first degree,B Violent Felony,160.15,141
4680,07/10/2021 01:13:00 PM,,MED,Y,B,M,35.0,DEP,N,N,AC 000.00,N,,,,141
20193511,07/10/2021 01:33:00 PM,,MED,N,O,M,38.0,DE,N,N,130.35,N,Rape in the first degree,B Violent Felony,130.35,141
20214832,07/10/2021 02:50:02 PM,,MIN,N,O,M,41.0,DE,N,N,220.21,N,Criminal possession of a controlled substance in the first degree,A-I Felony,220.21,141
165160,07/10/2021 04:38:46 PM,,MIN,N,B,M,52.0,DE,N,N,160.05,Y,Robbery in the third degree,D Felony,160.05,141
24839,07/11/2018 01:29:00 AM,,MAX,Y,B,M,36.0,DE,N,N,110-125.26,Y,,,,1236
20195515,07/11/2018 04:49:00 PM,,MAX,N,B,M,20.0,DE,N,Y,125.25,Y,Murder in the second degree,A-I Felony,125.25,1236
20205610,07/11/2019 12:01:00 AM,,MED,Y,B,M,38.0,DE,N,N,125.25,Y,Murder in the second degree,A-I Felony,125.25,871
20198024,07/11/2019 12:39:49 AM,,MAX,Y,B,M,21.0,DE,N,Y,265.03,Y,Criminal possession of a weapon in the second degree,C Violent Felony,265.03,871
20132516,07/11/2019 12:57:28 AM,,MAX,N,B,M,26.0,DE,N,Y,125.25,Y,Murder in the second degree,A-I Felony,125.25,871
20214837,07/11/2021 01:31:20 AM,,MIN,N,B,M,42.0,DE,N,N,265.08,Y,Criminal use of a firearm in the second degree,C Violent Felony,265.08,140
20214843,07/11/2021 03:19:53 PM,,MIN,N,B,M,31.0,DE,N,N,130.52,N,Forcible touching,A Misdemeanor,130.52,140
20214847,07/11/2021 05:25:13 PM,,MIN,N,B,M,21.0,DE,N,Y,265.03,N,Criminal possession of a weapon in the second degree,C Violent Felony,265.03,140
142644,07/11/2021 07:14:10 PM,,MIN,N,B,M,56.0,DE,N,N,140.25,N,Burglary in the second degree,C Violent Felony,140.25,140
3873,07/11/2021 07:15:45 PM,,MED,Y,W,M,54.0,DEP,N,N,140.25,Y,Burglary in the second degree,C Violent Felony,140.25,140
20176678,07/11/2021 10:05:06 PM,,MAX,N,B,M,23.0,DE,N,Y,160.15,Y,Robbery in the first degree,B Violent Felony,160.15,140
20214850,07/11/2021 10:57:03 PM,,MIN,N,A,M,40.0,DE,N,N,110-125.25,N,,,,140
37823,07/11/2021 11:36:56 PM,,MIN,Y,B,M,48.0,DE,N,N,110-120.10,Y,,,,140
20214841,07/11/2021 11:59:00 AM,,MIN,Y,B,F,48.0,DE,N,N,150.15,N,Arson in the second degree,B Violent Felony,150.15,140
33820,07/11/2021 12:51:20 PM,,MED,N,B,M,33.0,DE,N,N,265.03,Y,Criminal possession of a weapon in the second degree,C Violent Felony,265.03,140
76277,07/12/2018 06:48:10 PM,,MED,Y,B,M,49.0,DE,N,N,125.25,Y,Murder in the second degree,A-I Felony,125.25,1235
20196631,07/12/2018 10:56:00 PM,,MAX,Y,B,M,20.0,DE,N,Y,125.25,Y,Murder in the second degree,A-I Felony,125.25,1235
20121937,07/12/2019 01:02:56 AM,,MAX,Y,B,M,25.0,DE,N,N,125.25,Y,Murder in the second degree,A-I Felony,125.25,870
102009,07/12/2019 10:27:29 PM,,MED,N,O,M,42.0,SSR,N,N,110-160.10,Y,,,,870
20017157,07/12/2020 02:36:15 PM,,MAX,Y,O,M,29.0,DE,N,Y,220.39,Y,Criminal sale of a controlled substance in the third degree,B Felony,220.39,504
20197579,07/12/2020 12:51:21 AM,,MAX,Y,B,M,29.0,DE,N,N,160.15,Y,Robbery in the first degree,B Violent Felony,160.15,504
20171593,07/12/2021 04:15:38 PM,,MAX,N,O,M,24.0,DE,N,N,125.25,Y,Murder in the second degree,A-I Felony,125.25,139
20214859,07/12/2021 04:36:18 PM,,MED,N,O,M,28.0,DE,N,N,125.25,Y,Murder in the second degree,A-I Felony,125.25,139
20105387,07/12/2021 08:01:44 PM,,MIN,N,O,M,63.0,DE,N,N,120.05,N,Assault in the second degree,D Violent Felony,120.05,139
20002596,07/12/2021 12:30:00 PM,,MED,N,B,M,38.0,DE,N,N,130.65,N,Sexual abuse in the first degree,D Violent Felony,130.65,139
20205680,07/13/2019 10:32:00 PM,,MED,N,O,M,49.0,DE,N,N,125.25,N,Murder in the second degree,A-I Felony,125.25,869
20205669,07/13/2019 12:55:05 AM,,MIN,Y,B,M,49.0,SSR,N,N,,Y,,,,869
20198546,07/13/2020 04:59:07 PM,,MAX,Y,O,M,22.0,DE,N,N,160.15,Y,Robbery in the first degree,B Violent Felony,160.15,503
20010660,07/13/2020 05:13:20 PM,,MAX,Y,B,M,29.0,DE,N,N,160.15,N,Robbery in the first degree,B Violent Felony,160.15,503
85412,07/13/2020 08:40:58 PM,,MAX,Y,O,M,46.0,DE,N,N,110-125.25,Y,,,,503
20130848,07/13/2020 09:35:52 PM,,MED,N,O,M,73.0,DEP,N,N,265.03,Y,Criminal possession of a weapon in the second degree,C Violent Felony,265.03,503
23087,07/13/2020 11:45:55 PM,,MIN,Y,W,M,40.0,DE,N,N,160.15,Y,Robbery in the first degree,B Violent Felony,160.15,503
20083253,07/13/2021 04:38:46 PM,,MED,N,B,M,33.0,CS,N,N,205.30,Y,,,,138
20022685,07/13/2021 04:47:51 PM,,MED,Y,B,F,35.0,DE,N,N,160.10,N,Robbery in the second degree,C Violent Felony,160.10,138
79221,07/13/2021 05:11:07 PM,,MED,Y,B,M,31.0,DE,N,Y,125.25,N,Murder in the second degree,A-I Felony,125.25,138
89506,07/13/2021 06:32:38 PM,,MAX,Y,O,M,38.0,DE,N,N,125.25,Y,Murder in the second degree,A-I Felony,125.25,138
20214878,07/13/2021 10:43:02 PM,,MIN,Y,B,M,53.0,DEP,N,N,110-125.25,N,,,,138
20116408,07/13/2021 11:23:16 AM,,MED,N,B,M,49.0,DE,N,N,110-125.25,N,,,,138
59841,07/13/2021 11:56:48 AM,,MED,Y,O,M,33.0,CS,N,N,155.25,Y,Petit larceny,A Misdemeanor,155.25,138
20214865,07/13/2021 12:47:00 AM,,MED,N,B,M,24.0,DE,N,N,125.25,N,Murder in the second degree,A-I Felony,125.25,138
20184584,07/14/2017 01:58:52 AM,,MIN,N,O,M,62.0,SSR,N,N,,N,,,,1598
20060429,07/14/2017 03:41:36 PM,,MAX,Y,O,M,27.0,DE,N,Y,125.25,Y,Murder in the second degree,A-I Felony,125.25,1598
20005585,07/14/2020 08:41:14 PM,,MAX,N,O,M,28.0,DE,N,N,220.21,Y,Criminal possession of a controlled substance in the first degree,A-I Felony,220.21,502
20199873,07/14/2020 10:16:30 PM,,MIN,Y,B,M,48.0,DE,N,N,110-125.25,N,,,,502
